"Library","Predictor","nComp_optimal","RMSEP_CV","R2_CV"
"1nm","TWD_drone",2,26.3628310971114,0.12122684667164
"1nm","cshrink",4,3.76425941252585,0.662174980226331
"5nm","TWD_drone",2,26.2224367111403,0.130561678925407
"5nm","cshrink",7,3.64461758439632,0.683308320504135
"10nm","TWD_drone",2,26.5018075623084,0.111937199578848
"10nm","cshrink",7,3.9823309359319,0.621899357067271
"15nm","TWD_drone",2,26.0960104138871,0.138925119010718
"15nm","cshrink",5,4.40135331538311,0.538145492970665
