"Wavelength","VIP"
398,1.15075168288688
403,1.15405380890011
408,1.15987467233854
413,1.17039661802748
418,1.18593351426706
423,1.20536456304035
428,1.22930991340801
433,1.23271953409653
438,1.23108412830076
443,1.22743523920987
448,1.22023864399142
453,1.21519919196629
458,1.20574652835645
463,1.19701748250465
468,1.18659931028607
473,1.18110105831161
478,1.1742308548704
483,1.16725613817139
488,1.16456419364547
493,1.16193874100243
498,1.15576335356144
503,1.15126561966069
508,1.13895790056211
513,1.12106928714918
518,1.09733567500063
523,1.07830879930018
528,1.06131591261526
533,1.04694856703461
538,1.03540603030525
543,1.02604218634371
548,1.02322229245978
553,1.02306923171711
558,1.02669871390181
563,1.03405644640977
568,1.04371676999976
573,1.05741320877425
578,1.07140584957593
583,1.08257703635738
588,1.09057123286775
593,1.09657745342528
598,1.10245452982628
603,1.10431473826092
608,1.10753492901227
613,1.11054517321314
618,1.11158768505991
623,1.1130442475398
628,1.11312560695463
633,1.1123472547854
638,1.11354160547562
643,1.11638390351394
648,1.11960261138907
653,1.12124433552183
658,1.12355437656447
663,1.12027535675538
668,1.1188253995876
673,1.1230362117575
678,1.127259684311
683,1.12787398250303
688,1.11509167777246
693,1.08357566689823
698,1.036134974156
703,0.973967268226937
708,0.900242295638201
713,0.825295315373259
718,0.753741532909249
723,0.691919162842203
728,0.644956272242465
733,0.626181554819682
738,0.651446689769341
743,0.6938216692516
748,0.731637518497793
753,0.765828522296073
758,0.786850265488593
763,0.792747904981851
768,0.784171858992921
773,0.77185269254588
778,0.760484365249692
783,0.767994256666368
788,0.801078763281265
793,0.809862826501271
798,0.81562864179576
803,0.813637117592072
808,0.815967952304932
813,0.828673543270842
818,0.83478160748728
823,0.834476391326639
828,0.841017700753043
833,0.824092672988254
838,0.809358086671562
843,0.805182877312051
848,0.782215015376697
853,0.759222692049667
858,0.739882829392758
863,0.736523835161131
868,0.700212950479133
873,0.674594594300519
878,0.689308594436002
883,0.655787971991981
888,0.647687744132459
893,0.703703786492445
898,0.766721126158499
